REF;PRECIO;PVPR;DESCRIPCION
25119;24.95;49.9;ANIMALES SELVA 9 UDS
25123;20.95;41.9;ANIMALES SELVA 7 UDS
25126;19.45;38.9;ANIMALES BOSQUE 8 UDS
25137;31.45;62.9;ANIMALES SALVAJES+BEBES 12 UDS
25140;69.0;138.0;ANIMALES GRANJA-SALVAJES 30UDS
25610;23.45;46.9;ANIMALES DINOSAURIOS 12 UDS
26309;6.25;12.5;JUEGO RAQUETAS COLOR+PELOTA
27361;8.95;17.9;MAXICHAIN  24 PCS
27350;17.45;34.9;FAMILIA DE PIEL CLARA
27351;17.45;34.9;FAMILIA DE PIEL OSCURA
27352;17.45;34.9;FAMILIA DE PIEL INTERMEDIA
27353;17.45;34.9;FAMILIA DE PIEL MORENA
27354;17.45;34.9;FAMILIA DIVERSA
27355;24.95;49.9;SET DE FIGURAS DE OFICIOS
27356;18.45;36.9;SET FIG C/DIVERSIDAD FUNCIONAL
27370;9.95;19.9;VEHICULOS 72 CONTADORES
27375;7.95;15.9;4 BANDEJAS CLASIFICACION
27388;32.45;64.9;FIGURAS OFICIOS 11 UDS
27389;23.95;47.9;FIGUR CON DIVERSIDAD FUNCIONAL
27390;24.95;49.9;FAMILIAS DEL MUNDO DIVERSAS
27395;22.95;45.9;FAMILIA EUROPEA 8 UDS
27396;22.95;45.9;FAMILIA AFRICANA 8 UDS
27397;22.95;45.9;FAMILIA ASIATICA 8 UDS
27398;22.95;45.9;FAMILIA LATINOAMERICANA 8 UDS
27420;23.95;47.9;ANIMALES GRANJA 11 UDS
27430;20.95;41.9;ANIMALES GRANJA  BEBES 10 UDS
27460;19.45;38.9;ANIMALES MARINOS 8  UDS
27469;22.95;45.9;MINIMOBIL DUMPY 6 UDS
27470;9.95;19.9;MINIMOBIL 9CM 9 UDS
27471;32.9;65.8;MINIMOBIL 9 CM 36 UDS
27480;8.9;17.8;ANIMALES INSECTOS 12 UDS
27487;24.95;49.9;MINIMOBIL GO&JOB 12 CM 10 UDS
29005;11.95;23.9;SET 4 CUBOS ESPECIALES
29014;6.95;13.9;SET 4 CUBOS BEBE
29015;1.99;3.98;SET 4 PALAS BEBE
29016;1.99;3.98;SET 4 RASTRILLOS BEBE
29017;1.99;3.98;SET 4 PALAS HARINERAS BEBE
29030;2.75;5.5;SET 4 PALETAS
29031;2.75;5.5;SET 4 LLANAS
29035;3.95;7.9;SET 4 PALAS HARINERAS
29038;2.5;5.0;SET 4 PALAS
29039;2.5;5.0;SET 4 RASTRILLO
29040;3.45;6.9;SET 4 CEDAZOS
29083;7.45;14.9;SET 4 PALAS SUPER
29084;7.45;14.9;SET 4 RASTRILLOS SUPER
30581;10.95;21.9;FRUTAS 15 PCS
30582;12.95;25.9;HORTALIZAS 11 PCS
30583;12.95;25.9;REPOSTERIA 15 PCS
30584;8.65;17.3;FIAMBRE 16 PCS
30596;15.95;31.9;ALIMENTOS ENVASADOS 12 PCS
30811;28.45;56.9;FRUTAS-HORTALIZ-FRUTOS SECOS
30815;31.5;63.0;COMIDA RAPIDA 52 PCS
31001;13.45;26.9;MUÑECO RECIEN NAC CAUCASICO 40
31002;13.45;26.9;MUÑECA RECIEN NAC CAUCASICA 40
31003;13.45;26.9;MUÑECO RECIEN NAC AFRICANO 40
31004;13.45;26.9;MUÑECA RECIEN NAC AFRICANA 40
31005;13.45;26.9;MUÑECO RECIEN NAC ASIATICO 40
31006;13.45;26.9;MUÑECA RECIEN NAC ASIATICA 40
31007;13.45;26.9;MUÑECO RECIEN NAC LATINO 40
31008;13.45;26.9;MUÑECA RECIEN NAC LATINA 40
31031;10.45;20.9;MUÑECO BEBE CAUCASICO 32 CM
31032;10.45;20.9;MUÑECA BEBE CAUCASICA 32 CM
31033;10.45;20.9;MUÑECO BEBE AFRICANO 32 CM
31034;10.45;20.9;MUÑECA BEBE AFRICANA 32 CM
31035;10.45;20.9;MUÑECO BEBE ASIATICO 32 CM
31036;10.45;20.9;MUÑECA BEBE ASIATICA 32 CM
31037;10.45;20.9;MUÑECO BB LATINOAMERICANO 32CM
31038;10.45;20.9;MUÑECA BB LATINOAMERICANA 32CM
31049;14.45;28.9;BABY PELIRROJO NIÑO 38cm
31050;14.45;28.9;MUÑ BB CAUCASICA PELIRROJA 38
31051;14.45;28.9;MUÑECO BEBE CAUCASICO 38 CM
31052;14.45;28.9;MUÑECA BEBE CAUCASICA 38 CM
31053;14.45;28.9;MUÑECO BEBE AFRICANO 38 CM
31054;14.45;28.9;MUÑECA BEBE AFRICANA 38 CM
31055;14.45;28.9;MUÑECO BEBE ASIATICO 38 CM
31056;14.45;28.9;MUÑECA BEBE ASIATICA 38 CM
31057;14.45;28.9;MUÑECO BB LATINOAMERICANO 38CM
31058;14.45;28.9;MUÑECA BB LATINOAMERICANA 38CM
31068;14.45;28.9;MUÑEC BB CAUCASICO SIND DOWN38
31069;14.45;28.9;MUÑEC BB AFRICANA SIND DOWN 38
31089;14.45;28.9;MUÑEC BB AFRICANO SIND DOWN 38
31100;9.95;19.9;BAÑERA DOLLS
