"entity_id,""attribute_set_id"",""type_id"",""awards"",""case_pack"",""cost"",""created_at"",""description"",""eco_collection"",""emybaby"",""estuche_caja_alto"",""estuche_caja_ancho"",""estuche_caja_largo"",""estuche_caja_volumen"",""featured"",""fecha_disponible"",""gift_message_available"",""grow_fun"",""habilidades_nucleo"",""has_options"",""image"",""image_label"",""inteligencias_multiples"",""inteligencias_multiples_principal"",""inteligencias_multiples_principal_value"",""juegos_play_miniland"",""links_exist"",""links_purchased_separately"",""links_title"",""mas_vendidos"",""mgs_brand"",""mgs_brand_value"",""mgs_image_dimention"",""mgs_image_dimention_more_view"",""mgs_j360"",""mpcp_enddate"",""mpcp_hideaction"",""mpcp_isactive"",""mpcp_specificurl"",""mpcp_startdate"",""msrp"",""msrp_display_actual_price_type"",""name"",""necesidades_especiales"",""new"",""news_from_date"",""news_to_date"",""play_miniland"",""price"",""price_type"",""price_view"",""product_ean"",""rango_edad"",""rango_edad_reduced"",""referencia"",""required_options"",""security_image_url"",""short_description"",""size"",""size_value"",""sku"",""sku_type"",""small_image"",""small_image_label"",""special_from_date"",""special_price"",""special_to_date"",""swatch_image"",""tax_class_id"",""tematicas"",""thumbnail"",""thumbnail_label"",""updated_at"",""url_key"",""url_path"",""visibility"",""weight"",""weight_type""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,4,simple,,""6"",,""2019-12-05 10:52:26"",""<p><span>El Set de 3 aceites aromáticos para humidificador de Miniland estáespecialmente formulado para crear ambientes relajantes y agradables en espacios infantiles. Perfecto para utilizar con humidificadores o difusores que incorporan compartimento para esencias, este pack incluye tres aromas naturales pensados para acompañar los momentos de descanso y bienestar del bebé.</span></p><p><span>Tres fragancias suaves pensadas para el entorno infantil</span></p><br><p><span>El set contiene lavanda, eucalipto y naranja, tres esencias clásicas conocidas por sus propiedades relajantes y purificadoras. La lavanda favorece la calma, el eucalipto refresca el ambiente y la naranja aporta una sensación de bienestar y armonía.</span></p><br><p><span>Uso sencillo con unas pocas gotas</span></p><br><p><span>Cada frasco contiene 10 ml de aceite aromático. Basta con añadir unas gotas en el compartimento de esencias del humidificador para perfumar el ambiente de forma suave y continua, sin sobrecargar el espacio.</span></p><br><p><span>Crea un ambiente ideal para el descanso del bebé</span></p><br><p><span>El uso de aceites aromáticos contribuye a mejorar la percepción del entorno, generando un clima más tranquilo y acogedor, ideal para rutinas de sueño, lectura o momentos de relajación antes de ir a la cama.</span></p><br><p><span>Compatible con humidificadores y difusores infantiles</span></p><br><p><span>Este set ha sido diseñado para ser seguro y compatible con dispositivos de humidificación aptos para bebés y niños, permitiendo disfrutar de los beneficios del aroma de forma controlada y adaptada al uso diario.</span></p><br><p><span>Presentación práctica y duradera para uso continuo</span></p><br><p><span>Los tres frascos de 10 ml permiten disfrutar de múltiples usos con una dosificación precisa y duradera, convirtiendo este set en un complemento perfecto para las rutinas de descanso familiar.</span></p><p></p>"",,0,""0.080000"",""0.101000"",""0.030000"",""0.000242"",1,,0,0,""11662,11656"",0,/5/0/5005089289_1.jpg,""5005089289_1"",,,,,,,,0,,,,,0,,0,0,,,,""0"",set 3 aromas,0,0,,,0,9.0909,,,""8413082892890"",""11836"",,SET 3 AROMAS,0,http://minilandgroup.com/pub/media/security/89289_S01.jpg,""<p><span> Crea un ambiente más acogedor y relajante con el Set de 3 aceites aromáticos para humidificador de Miniland. Incluye lavanda, eucalipto y naranja , tres fragancias suaves pensadas para mejorar el descanso y el bienestar de los más pequeños. Solo hay que añadir unas gotas en el compartimento de esencias del humidificador para disfrutar de un ambiente fresco, tranquilo y agradable. Cada frasco contiene 10 ml y estádiseñado para un uso seguro en entornos infantiles.</span></p><p></p>"",,,""5005089289"",,/5/0/5005089289_1.jpg,""5005089289_1"",,,,no_selection,4,""11768"",/5/0/5005089289_1.jpg,""5005089289_1"",""2025-10-28 11:11:19"",set-3-aromas.html,,4,0.1300,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,4,simple,""11741,11977"",""4"",,""2019-12-05 10:52:26"",""<p><span style=""""font-weight:bold";font-size:16px;">El escucha latidos más moderno del mercado</span></p><p><span style=""""font-size:16px";">Este novedoso dispositivo permite escuchar en tiempo real y grabar los latidos del feto conectándolo mediante Bluetooth a la aplicación móvil eMyBaby®. Además, con sweetBeat pueden utilizarse auriculares o escucharse los latidos desde el dispositivo móvil.</span></p><br><p><span style=""""font-weight:bold";">A partir del primer trimestre</span></p><p><span>sweetBeat permite escuchar la actividad prenatal a partir de la semana 16, por lo que los papás podrán escuchar a su bebé desde el principio del segundo trimestre hasta el final del embarazo. </span></p><br><p><span style=""""font-weight:bold";">Permite compartir los latidos del bebé con los seres más queridos</span></p><p><span>La app de eMyBaby® permite que los archivos de audio grabados puedan ser compartidos con familiares y amigos. De esta manera, los futuros padres podrán escuchar los primeros movimientos del bebé en su móvil o tablet y compartirlos por las redes sociales con sus contactos más allegados.</span></p><br><p><span style=""""font-weight:bold";>Los papás pueden seguir paso a paso el embarazo en el móvil con eMyBaby®</span></p><p><span>Además del escucha latidos, Miniland ha desarrollado un completo módulo en eMyBaby® dedicado al embarazo. Encontramos en él apartados como el de la mamá, en el que podrá registrar todos sus datos médicos durante el embarazo; un módulo con toda la información relativa a la evolución del bebé; un espacio para añadir las citas médicas más importantes;" un contador de contracciones para cuando llegue el momento del parto e incluso un diario del bebé para escribir la evolución del embarazo día a día. </span></p><br><p><span style=""""font-weight:bold";">Pequeño, cómodo y con batería recargable</span></p><p><span>El diseño redondo y compacto de sweetBeat y su reducido tamaño lo hacen muy cómodo y fácil de utilizar para las mamás. Además cuenta con batería recargable mediante cable microUSB.</span></p><p></p>"",,1,""0.210000"",""0.185000"",""0.065000"",""0.002525"",1,,0,0,""11660"",0,/5/0/5005089304_1_3742.jpg,""5005089304"",,,,,,,,0,,,,,0,,0,0,,,,""0"",Escucha latidos bluetooth de bebé SweetBeat,0,0,,,0,106.6115,,,""8413082893040"",""11836"",,SWEETBEAT,0,http://minilandgroup.com/pub/media/security/89304_S01.jpg,""<p><span style=""""font-size:16px";">Escuchar, sentir y compartir el dulce latido de tu bebé, ahora y siempre. sweetBeat permite escuchar en tiempo real los dulces latidos de tu bebé a partir de la semana 16 de embarazo. A través de la app eMyBaby de Miniland podrás grabar los latidos y ampliar la experiencia de sweetBeat hacia un sinfín de opciones y funcionalidades: evolución del embarazo (peso, tensión arterial, movimientos fetales, altura de útero) y control de contracciones, diario del bebé, reproducción de sonidos grabados, seguimiento de citas médicas... </span></p><br><p><span style=""""font-size:16px";">* Este artículo no se puede devolver por tratarse de un producto sanitario. Para saber más, consulte nuestros términos y condiciones accediendo a esta página: https://minilandgroup.com/family/es/terminos-condiciones/.</span></p><br><p></p>"",,,""5005089304"",,/5/0/5005089304_1_3742.jpg,""5005089304"",,,,no_selection,4,""11767,11912"",/5/0/5005089304_1_3742.jpg,""5005089304"",""2025-10-28 11:11:19"",sweetbeat.html,,4,0.3860,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"7,4,simple,""12002"",""4"",,""2019-12-05 10:52:26"",<p><span>1 bote de 24 piezas</span></p><p></p>,,0,""0.190000"",""0.175000"",""0.175000"",""0.005819"",1,""2026-06-26 00:00:00"",0,0,""11620,11621,11619,11622"",0,/5/0/5005027361_1_1.jpg,""5005027361_1"",""11667,11668"",11881,Activa y Corporal,,,,,0,,,,,0,,1,1,,,,""0"",Juego de ensartar Maxichain (24 piezas),1,0,,,0,14.7930,,,""8413082273613"",""11840"",,MAXICHAIN  24 PCS,0,http://minilandgroup.com/pub/media/security/27361_S01.JPG,""<p><span>Grandes cuentas de texturas y colores variados.</span></p><p><span>Especialmente pensadas para manos pequeñas, proporcionan un gran valor de juego, incluso con ciertas discapacidades.</span></p><p><span>Su ensamblaje es por suave presión permaneciendo unidas en forma de cadeneta.</span></p><p></p>"",,,""5005027361"",,/5/0/5005027361_1_1.jpg,""5005027361_1"",,,,no_selection,4,""11750,11751"",/5/0/5005027361_1_1.jpg,""5005027361_1"",""2025-10-28 11:11:43"",maxichains,,4,0.3950,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"8,4,simple,""12002"",""4.00"",,""2019-12-05 10:52:26"",,,0,,,,,1,,0,0,""11620,11621,11619,11622"",0,/5/0/5005027364_1_1.jpg,""5005027364_1"",""11667,11668"",11881,Activa y Corporal,,,,,0,,,,,0,,1,1,,,,""0"",Juego encajable Superchain (16 piezas),0,0,,,0,25.5371,,,""8413082273644"",""11840"",,SUPERCHAIN 16 PCS,0,http://minilandgroup.com/pub/media/security/27364_S01.JPG,,,,""5005027364"",,/5/0/5005027364_1_1.jpg,""5005027364_1"",,,,no_selection,4,""11750,11751"",/5/0/5005027364_1_1.jpg,""5005027364_1"",""2025-10-28 11:11:43"",superchain-16-pces-suitcase,,4,0.0000,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9,4,simple,""12002"",""4"",,""2019-12-05 10:52:26"",<p><span>4 bandejas de clasificación</span></p><p></p>,,0,""0.130000"",""0.260000"",""0.260000"",""0.008788"",1,""2026-05-26 00:00:00"",0,0,""11623,11624,11621,11625"",0,/5/0/5005027375_1_1.jpg,""5005027375_1"",,11884,Lógico-Matemática,,,,,0,,,,,0,,1,1,,,,""0"",Set de 4 bandejas de clasificación,0,0,,,0,13.1400,,,""8413082273750"",""11841"",,""4 BANDEJAS CLASIFICACION"",0,http://minilandgroup.com/pub/media/security/27375_S01.JPG,""<p><span>Para clasificar tamaños, colores y formas. De excelente calidad, plástico robusto. Con 5 departamentos para clasificar todo tipo de contadores y accesorios. Se presentan surtidas en los 4 colores básicos. Apta para uso colectivo.</span></p><p></p>"",,,""5005027375"",,/5/0/5005027375_1_1.jpg,""5005027375_1"",,,,no_selection,4,""11750"",/5/0/5005027375_1_1.jpg,""5005027375_1"",""2025-10-28 11:11:43"",classification-tray-set-4,,4,0.7090,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"10,4,simple,,""6"",,""2019-12-05 10:52:26"",<p><span>11 personajes</span></p>,,0,""0.165100"",""0.076200"",""0.228600"",""0.002876"",1,""2026-07-01 00:00:00"",0,0,""11626,11614,11627,11615"",0,/5/0/5005027388_1_1.jpg,""5005027388_1"",""11664"",11887,Social,,,,,1,,,,,0,,0,0,,,,""0"",Figuras de oficios (11 unidades),0,0,,,0,52.8100,,,""8413082273880"",""12028"",,FIGURAS OFICIOS 11 UDS,0,http://minilandgroup.com/pub/media/security/27388_S01.JPG,<p><span>Los oficios más representativos y habituales. Para ayudar a comprender el entorno de la vida cotidiana. Piezas de gran originalidad y decoradas con máxima calidad.</span></p>,,,""5005027388"",,/5/0/5005027388_1_1.jpg,""5005027388_1"",,,,no_selection,4,""11752,11753"",/5/0/5005027388_1_1.jpg,""5005027388_1"",""2025-10-28 11:11:47"",occupations-11-figures-12-5-cm,,4,0.8800,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"11,4,simple,,""6"",,""2019-12-05 10:52:26"",<p><span>6 personajes</span></p><p></p>,,0,""0.146000"",""0.084000"",""0.205000"",""0.002514"",1,""2026-07-01 00:00:00"",0,0,""11626,11614,11627,11615"",0,/5/0/5005027389_1_1.jpg,""5005027389_1"",""11669,11664"",11887,Social,,,,,1,,,,,0,,0,0,,,,""0"",Figuras de personas con diversidad funcional,0,0,,,0,39.5870,,,""8413082273897"",""11838"",,FIGUR CON DIVERSIDAD FUNCIONAL,0,http://minilandgroup.com/pub/media/security/27389_S01.JPG,""<p><span style=""""font-size:16px";">Interesante conjunto de figuras que resultan un buen recurso didáctico para ayudar a razonar en el respeto hacia el prójimo y establecer y evolucionar en las normas elementales de relación y convivencia. Trabajadas con cuidadosos detalles.</span></p><br><p><span style=""""font-size:16px";">Relacionado con la temática de diversidad, a la que corresponde este producto, dispones de recursos digitales relacionados en nuestra plataforma miniland teach&play.</span></p><p></p>"",,,""5005027389"",,/5/0/5005027389_1_1.jpg,""5005027389_1"",,,,no_selection,4,""11752,11754"",/5/0/5005027389_1_1.jpg,""5005027389_1"",""2025-10-28 11:11:47"",handicapped-6-figures-12-5-cm,,4,0.4300,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"12,4,simple,,""6"",,""2019-12-05 10:52:26"",<p><span>8 personajes</span></p><p></p>,,0,""0.152000"",""0.050000"",""0.152000"",""0.001155"",1,""2026-07-01 00:00:00"",,0,""11626,11614,11627,11615"",0,/5/0/5005027395_1_2.jpg,""5005027395_1"",""11669,11664"",11887,Social,,,,,0,,,,,0,,0,0,,,,""0"",Figuras de familia europea (8 unidades),0,0,,,0,37.9340,,,""8413082273958"",""12028"",,FAMILIA EUROPEA 8 UDS,0,http://minilandgroup.com/pub/media/security/27395_S01.JPG,""<p><span>Descubre nuestras Figuras de Familias de Diferentes orígenes, ideales para desarrollar el respeto por la diversidad de sexos, roles, orígenes y condiciones humanas. Estas figuras están diseñadas para fomentar las normas básicas de relación y convivencia, promoviendo valores de inclusión y respeto desde una edad temprana.Fabricadas con la máxima calidad y atención al detalle, estas figuras están diseñadas a la escala más común para el juego con casas de muñecas. Cada set incluye figuras que representan a los diferentes miembros de cualquier familia cotidiana, ofreciendo una representación realista y variada.</span></p><p></p>"",,,""5005027395"",,/5/0/5005027395_1_2.jpg,""5005027395_1"",,,,no_selection,4,""11752,11754"",/5/0/5005027395_1_2.jpg,""5005027395_1"",""2025-10-28 11:11:47"",european-family-8-figures,,4,0.3500,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"13,4,simple,,""6"",,""2019-12-05 10:52:26"",<p><span>8 personajes</span></p><p></p>,,0,""0.152000"",""0.050000"",""0.152000"",""0.001155"",1,""2026-04-15 00:00:00"",,0,""11626,11614,11627,11615"",0,/5/0/5005027396_1_2.jpg,""5005027396_1"",""11669,11664"",11887,Social,,,,,0,,,,,0,,0,0,,,,""0"",Figuras de familia africana (8 unidades),0,0,,,0,37.9340,,,""8413082273965"",""12028"",,FAMILIA AFRICANA 8 UDS,0,http://minilandgroup.com/pub/media/security/27396_S01.JPG,""<p><span>Desarrolla el respeto por la diversidad con nuestras figuras de familias de distintos orígenes. Estas figuras fomentan la comprensión y aceptación de sexos, roles y diversas condiciones humanas, promoviendo normas básicas de relación y convivencia. Accede a recursos digitales relacionados con la diversidad en nuestra plataforma Miniland Teach&amp";"Play.Fomenta la inclusión y el respeto con nuestras figuras de familias diversas.</span></p><p></p>"",,,""5005027396"",,/5/0/5005027396_1_2.jpg,""5005027396_1"",,,,no_selection,4,""11752,11754"",/5/0/5005027396_1_2.jpg,""5005027396_1"",""2025-10-28 11:11:47"",african-family-8-figures,,4,0.3500,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
