REF_PATRON;REF_VARIANTE;EAN;STOCK;NOMBRE;MARCA;IMAGEN;CATEGORIA;CATEGORIA_PADRE;COLOR;TALLAJE
0000148;;8435585002781;283;"BALÓN FÚTBOL 11 SOFTEE VINTAGE";Softee;https://cdn.jimsports.shop/4/2/6/9/4269.jpg;Balones;Fútbol;;
0000505;;8445090018863;1085;"BALÓN FÚTBOL 11 GALAXY R11";Softee;https://cdn.jimsports.shop/5/8/8/5/5885.jpg;Balones;Fútbol;;
0000507;;8445090018887;425;"BALÓN FÚTBOL SALA GALAXY SALA";Softee;https://cdn.jimsports.shop/5/8/8/6/5886.jpg;Balones;"Fútbol sala";;
0001721;;8435406800442;2317;"BALÓN VOLEIBOL SOFTEE SILVI";Softee;https://cdn.jimsports.shop/5/3/5/0/5350.jpg;Balones;Voleibol;;
0003002;;8435406800725;242;"BALÓN RUGBY SOFTEE DERBY";Softee;https://cdn.jimsports.shop/5/3/0/7/5307.jpg;Balones;Rugby;;
0003003;;8435585033242;673;"BALÓN RUGBY SOFTEE GLOBAL";Softee;https://cdn.jimsports.shop/4/3/9/5/4395.jpg;Balones;Rugby;;
0003006;;8445090018900;277;"BALÓN RUGBY SOFTEE SENSI";Softee;https://cdn.jimsports.shop/5/8/8/9/5889.jpg;Balones;Rugby;;
0003101;;8445090018894;51;"BALÓN WATERPOLO SOFTEE AQUA";Softee;https://cdn.jimsports.shop/5/8/8/7/5887.jpg;Balones;Waterpolo;;
0003604;;8435585005737;258;"HINCHADOR PELOTA GIGANTE";Softee;https://cdn.jimsports.shop/5/0/5/8/5058.jpg;"Actividades dirigidas";Fitness;;
0003605P;;8445090092139;143;"LOTE 5 TAPONES PELOTAS GIGANTES";Softee;https://cdn.jimsports.shop/6/1/6/1/6161.jpg;"Actividades dirigidas";Fitness;;
0003606P;;8445090094669;146;"LOTE 5 EXTRACTORES TAPON PELOTAS GIGANTES";Softee;https://cdn.jimsports.shop/6/2/1/6/6216.jpg;"Actividades dirigidas";Fitness;;
0003664;;8435585028439;6217;"PELOTA CANGURO 45CM";Softee;https://cdn.jimsports.shop/4/2/8/3/4283.jpg;Accesorios;Juegos;;
0004002P;;8445090092627;580;"LOTE 12 SILBATOS METÁLICOS";Softee;https://cdn.jimsports.shop/6/1/8/9/6189.jpg;Accesorios;Árbitro;;
0004011P;;8445090092399;86;"LOTE 10 CORREAS PARA SILBATO 50CM";Softee;https://cdn.jimsports.shop/6/1/7/2/6172.jpg;Accesorios;Árbitro;;
0004012P;;8445090092214;79;"LOTE 12 CORREAS PARA SILBATO PEQUEÑA 25CM";Softee;https://cdn.jimsports.shop/6/1/6/6/6166.jpg;Accesorios;Árbitro;;
0004013;;8435406801319;1562;"SET ARBITRO SENCILLO";Softee;https://cdn.jimsports.shop/4/3/7/7/4377.jpg;Accesorios;Árbitro;;
0004014P;;8445090092313;85;"LOTE 12 CORREAS PARA SILBATO 50CM CON AGARRE DE PLÁSTICO";Softee;https://cdn.jimsports.shop/1/4/9/0/6/14906.jpg;Accesorios;Árbitro;;
0004015;;8435406801326;616;"SET TARJETA ÁRBITRO COLOR ROJA /AMARILLA";Softee;https://cdn.jimsports.shop/5/0/5/9/5059.jpg;Accesorios;Árbitro;;
0004020;;8435406801340;119;"TARJETERO DELUXE";Softee;https://cdn.jimsports.shop/5/3/2/9/5329.jpg;Accesorios;Árbitro;;
0004028;;8435585038544;428;"SET MULTIDEPORTE PARA ENTRENADOR/ARBITRO";Softee;https://cdn.jimsports.shop/5/5/5/3/5553.jpg;Accesorios;Árbitro;;
0004030;;8435407156104;240;"SILBATO ELÉCTRICO SOFTEE";Softee;https://cdn.jimsports.shop/5/7/5/1/5751.jpg;Accesorios;Árbitro;;
0004073;;8435406801586;0;"MARCADOR DE MESA DELUXE";Softee;https://cdn.jimsports.shop/4/2/9/8/4298.jpg;Accesorios;Árbitro;;
0004074;;8435585002361;167;"MARCADOR CAMBIOS CHACOTES";Softee;https://cdn.jimsports.shop/5/0/4/6/5046.jpg;Accesorios;Árbitro;;
0004075;;8435585030302;241;"MARCADOR CAMBIOS CHACOTES MEDIO";Softee;https://cdn.jimsports.shop/5/3/3/6/5336.jpg;Accesorios;Árbitro;;
0004076;;8445090161057;115;"KIT ENTRENADOR SOFTEE COACH";Softee;https://cdn.jimsports.shop/5/7/4/6/5746.jpg;"Complementos entrenador";Entrenamiento;;
0004077;;8435407156067;4;"SILBATO SOFTEE FREQUENCY";Softee;https://cdn.jimsports.shop/5/7/4/7/5747.jpg;Accesorios;Árbitro;;
